algo,env,dataset,final return,final std,final normalized return,final normalized std,best return,best std,best normalized return,best normalized std
TD3+BC,halfcheetah,medium-expert-v0,10794.3,847.1,89.2,6.8,11996.7,294.8,98.9,2.4
TD3+BC,halfcheetah,medium-replay-v0,5032.4,263.6,42.8,2.1,5232.8,30.5,44.4,0.2
TD3+BC,halfcheetah,medium-v0,4983.2,65.7,42.4,0.5,5059.9,54.3,43.0,0.4
TD3+BC,halfcheetah,random-v0,1132.0,185.2,11.4,1.5,1341.8,129.4,13.1,1.0
TD3+BC,hopper,medium-expert-v0,3633.2,8.8,112.3,0.3,3690.5,12.2,114.0,0.4
TD3+BC,hopper,medium-replay-v0,1001.4,258.8,31.4,8.0,1646.2,498.1,51.2,15.3
TD3+BC,hopper,medium-v0,3100.4,394.8,95.9,12.1,3264.4,9.0,100.9,0.3
TD3+BC,hopper,random-v0,336.0,2.9,10.9,0.1,343.0,1.2,11.2,0.0
TD3+BC,walker2d,medium-expert-v0,4177.2,661.7,91.0,14.4,5121.2,53.4,111.5,1.2
TD3+BC,walker2d,medium-replay-v0,1215.5,259.8,26.4,5.7,2528.6,237.4,55.0,5.2
TD3+BC,walker2d,medium-v0,3522.7,148.7,76.7,3.2,3774.4,18.2,82.2,0.4
TD3+BC,walker2d,random-v0,99.4,108.4,2.1,2.4,994.5,27.8,21.6,0.6
